	TEXT	LABEL
10	"Cellular senescence forms a barrier that inhibits the acquisition of an immortal phenotype , a critical feature in tumorigenesis .
The inactivation of multiple pathways that positively regulate senescence are required for immortalization .
To identify these pathways in an unbiased manner , we performed DNA microarray analyses to assess the expression of 20,000 genes in human prostate epithelial cells ( HPECs ) passaged to senescence .
These gene expression patterns were then compared with those of HPECs immortalized with the human Papillomavirus 16 E7 oncoprotein .
Senescent cells display gene expression patterns that reflect their nonproliferative , differentiated phenotype and express secretory proteases and extracellular matrix components .
A comparison of genes transcriptionally up-regulated in senescence to those in which expression is significantly down-regulated in immortalized HPECs identified three genes : the chemokine BRAK , DOC1 , and a member of the insulin-like growth factor axis , IGFBP-3 .
Expression of these genes is found to be uniformly lost in human prostate cancer cell lines and xenografts , and previously , their inactivation was documented in tumor samples .
Thus , these genes may function in novel pathways that regulate senescence and are inactivated during immortalization .
These changes may be critical not only in allowing cells to bypass senescence in vitro but in the progression of prostate cancer in vivo .
"	31
11	"Overexpression and amplification of cyclin D1 were investigated by immunohistochemistry and differential polymerase chain reaction ( dPCR ) in 440 formalin-fixed primary breast carcinoma tissues .
Overexpression of cyclin D1 was detected in 60% ( 263/440 ) and amplification of cyclin D1 was noted in 27% ( 119/440 ) of the primary breast carcinomas .
Molecular analysis demonstrated that cyclin D1 was amplified in 30% ( 7/23 ) of the comedo DCIS , 22% ( 9/41 ) of the comedo DCIS and 32% ( 13/41 ) of the adjacent invasive ductal carcinomas , 30% ( 82/270 ) of the invasive ductal carcinomas , 27% ( 9/33 ) of the invasive lobular carcinomas , 19% ( 4/21 ) of the colloid carcinomas and 13% ( 2/15 ) of the medullary carcinomas .
Cyclin D1 was amplified in 11% ( 2/19 ) of the invasive ductal carcinomas but not in the adjacent non-comedo DCIS lesions .
Our observation showed that cyclin D1 was strongly positive in 61% ( 14/23 ) of the comedo subtype , 61% ( 11/18 ) of the non-comedo subtype , 59% ( 24/41 ) of the comedo DCIS and 63% ( 26/41 ) of the adjacent invasive ductal carcinomas , 53% ( 10/19 ) of the non-comedo DCIS and 58% ( 11/19 ) of the adjacent invasive lesions , 58% ( 157/270 ) of the invasive ductal carcinomas , 73% ( 24/33 ) of the invasive lobular carcinomas , 52% ( 11/21 ) of the colloid carcinomas and 27% ( 4/15 ) of the medullary carcinomas .
A significant association was observed between in situ components and adjacent invasive lesions for cyclin D1 expression ( p<0.05 ) and amplification ( p<0.05 ) .
A significant relationship was noted between amplification of cyclin D1 and lymph node metastases ( p<0.05 ) but not with histological grade ( p>0.05 ) , estrogen receptor status ( p>0.05 ) and proliferation index ( Ki-67 and PCNA ) ( p>0.05 ) .
However , overexpression of cyclin D1 was statistically associated with well differentiated tumors ( p<0.05 ) and estrogen receptor positivity ( p<0.05 ) .
No relationship was seen with nodal status ( p>0.05 ) and proliferation index ( Ki-67 and PCNA ) ( p>0.05 ) .
These observations suggest that tumors positive for cyclin D1 protein may have features of good prognosis but amplification of cyclin D1 gene could be an indicator of tumors with poor prognostic features .
Although majority of the Malaysian patients belong to younger age group ( <50 years old ) , amplification and expression of cyclin D1 was not statistically associated with patient age ( p>0.05 ) .
These observations indicate that amplification and up-regulation of cyclin D1 may be independent of patient age .
Moreover , overexpression and amplification of cyclin D1 in preinvasive , preinvasive and adjacent invasive lesions , and invasive carcinomas suggest that the gene may play an important role in early and late stages of breast carcinogenesis .
"	24
12	"Interferon-gamma ( IFN-gamma ) has pleiotropic activities other than its antivirus action , including cell growth inhibition , natural killer ( NK ) cell and cytotoxic T lymphocyte ( CTL ) activation , and angiogenesis inhibitory activity , and these activities are supposed to be involved in its antitumour activity .
However , it has not been completely elucidated which activity is mainly involved in the tumour suppression in vivo .
In this study , we analysed inhibitory mechanisms of endogenous IFN-gamma against B16 melanoma experimental metastasis .
After intravenous injection of tumour cells , tumour deposits in the lungs and liver were increased and life span was shorter in IFN-gamma(-/-) mice , indicating important roles for IFN-gamma in antitumour mechanisms .
Interestingly , tumour deposits were not increased in IFN-gamma receptor ( R)(-/- ) mice .
Furthermore , only low levels of cell-mediated immunity against the tumour and activation of NK cells were observed , indicating that antimetastatic effects of IFN-gamma is not mediated by host cells .
The survival period of B16 melanoma-bearing IFN-gamma R(-/-) mice was , however , shorter than wild-type mice .
These observations suggest that IFN-gamma prevents B16 melanoma experimental metastasis by directly inhibiting the cell growth , although antitumour host functions may also be involved in a later phase .
"	10
13	"P53 activity plays a key role in mammalian cells when they undergo replicative senescence at their Hayflick limit .
To determine whether p63 proteins , members of the family of p53-related genes , are also involved in this process , we examined their expression in serially passaged rat embryo fibroblasts .
Upon senescence , two truncated DeltaNp63 proteins decreased in abundance whereas two TAp63 isoforms accumulated. 2-D gel analysis showed that the DeltaNp63 proteins underwent post-translational modifications in both proliferating and senescent cells .
Direct binding of DeltaNp63 proteins to a p53 consensus motif was greater in proliferating cells than senescent cells .
In contrast p63alpha isoforms bound to DNA in a p53 dependent manner and this was higher in senescent cells than proliferating cells .
An interaction of p63alpha proteins with SV40 large tumour antigen was also detected and ectopic expression of DeltaNp63alpha can extend the lifespan of rat embryo fibroblasts .
Taken together the results indicate that p63 proteins may play a role in replicative senescence either by competition for p53 DNA binding sites or by direct interaction with p53 protein bound to DNA .
"	27
14	"Mesotheliomas are malignant tumors of the pleural and peritoneal membranes which are often associated with asbestos exposure and with Simian virus 40 ( SV40 ) infection .
Telomerase activity is repressed in somatic cells and tissues but is activated in immortal and malignant cells .
We evaluated telomerase activity in seven primary malignant mesothelioma biopsies and matched lung specimens and 20 mesothelioma cell lines and eight corresponding primary tumor cultures .
All the tumor biopsies , and nearly all primary cell mesothelioma cultures and cell lines were telomerase positive .
The findings in cell lines paralleled those observed in primary cultures in cases where paired samples were available .
Next , we found that SV40 , a DNA tumor virus present in approximately 50% of mesothelioma biopsies in the USA , induced telomerase activity in primary human mesothelial cells , but not in primary fibroblasts .
Telomerase activity became detectable as early as 72 h following wild-type ( strain 776 ) SV40 infection , and a clear DNA ladder was detectable 1 week after infection .
The amount of telomerase activity increased during passage in cell culture and appeared to parallel increases in the cellular amounts of the SV40 large T-antigen .
Thus , SV40 infection leads to telomerase activity before the infected mesothelial cells become transformed and immortalized .
SV40 infection of human fibroblasts did not cause detectable telomerase activity .
We also determined that the SV40 small t-antigen ( tag ) plays an important role in inducing telomerase activity because this activity was undetectable or minimal in mesothelial cells infected and/or transformed by SV40 tag mutants .
Asbestos alone did not induce telomerase activity , and asbestos did not influence telomerase activity in mesothelial cells infected with SV40 .
Induction of telomerase activity by SV40 may be related to the very high rate of mesothelial cell immortalization that is characteristically associated with SV40 infection of mesothelial cells .
"	13
15	"Vascular endothelial growth factor ( VEGF ) has emerged as one of the most important angiogenic growth factors from experimental in vitro and in vivo studies .
In the present study , we investigated the relationship between VEGF expression and microvessel density ( MVD ) and defined their prognostic relevance on a series of 242 patients with node-negative breast cancer , using immunohistochemical methods .
In parallel , estrogen and progesterone receptors were quantitatively assessed using the dextran-charcoal technique and cell proliferation was evaluated as S-phase cell fraction according to ( 3)H-thymidine-labeling index ( TLI ) .
The percentage of VEGF-expressing cells varied from 0-95% in the different tumors and was unrelated to menopausal status , tumor size or steroid receptor status .
Conversely , a significant inverse relation was observed with patient age or tumor cell proliferation , albeit with very poor correlation coefficients .
A significant relation was observed between VEGF expression and MVD ( r(s) = 0.55 , p < 0.001 ) .
Clinical outcome analyzed as a function of high and low VEGF expression showed slight differences in terms of both disease-free survival ( DFS ) and overall survival ( OS ) that never reached statistical significance .
Moreover , the trend was paradoxically in favor of patients with highly VEGF-expressing tumors .
Finally , DFS and OS curves , when analyzed as a function of VEGF expression or MVD , were superimposable .
In conclusion , our study did not highlight a prognostic relevance of VEGF expression in patients with node-negative breast cancer , as already observed for MVD .
"	11
16	"PURPOSE We recently reported that overexpression of epidermal growth factor receptor ( EGFR ) positively correlated with radioresistance of murine carcinomas .
Because cyclin D1 is a downstream sensor of EGFR activation , the present study investigated whether a relationship exists between the extent of cyclin D1 expression and in vivo radiocurability of murine tumors .
We further investigated the influence of radiation on cyclin D1 expression and the expression of p27 , an inhibitor of the cyclin D1 downstream pathway , as well as the relationship of these molecular determinants to cell proliferation and induced apoptosis in tumors exposed to radiation .
METHODS AND MATERIALS Cyclin D1 expression was assayed in nine carcinomas syngeneic to C3Hf/Kam mice using Western blot analysis .
These tumors greatly differed in their radioresponse as assessed by TCD(50) .
The expression of cyclin D1 and p27 proteins was determined by Western blotting .
Cell proliferative activity in tumors was determined by proliferating cell nuclear antigen ( PCNA ) immunochemistry .
The effect of irradiation on the expression of cyclin D1 or p27 proteins and on PCNA positivity was determined in the radiosensitive OCa-I and in the radioresistant SCC-VII tumors .
RESULTS Cyclin D1 expression varied among tumors by 40-fold , and its magnitude positively correlated with poorer tumor radioresponse ( higher TCD(50) values ) .
The level of cyclin D1 expression paralleled that of EGFR .
A 15-Gy dose reduced constitutive expression of cyclin D1 in the radiosensitive OCa-I tumors , but had no influence on expression of cyclin D1 in the radioresistant SCC-VII tumors .
In contrast , 15 Gy increased the expression of p27 in radiosensitive tumors and reduced it in radioresistant tumors .
Radiation induced no significant apoptosis or change in the percentage of PCNA-positive ( proliferating ) cells in SCC-VII tumors with high cyclin D1 levels , but it induced significant apoptosis and a decrease in the percentage of proliferating cells in OCa-I tumors with low cyclin D1 expression .
CONCLUSION Our findings show a positive correlation between cyclin D1 expression and tumor radioresistance .
The expression of cyclin D1 and p27 was modified by radiation and was associated with cellular response to radiation , but this depended on the pretreatment level of cyclin D1 expression .
These findings may have important clinical implications : The pretreatment assessment of cyclin D1 expression could serve as a useful predictor of radiotherapy outcome and assist in selecting an effective treatment modality .
"	9
17	"Treatment of cells with the anti-cancer drug camptothecin ( CPT ) induces topoisomerase I ( Top1)-mediated DNA damage , which in turn affects cell proliferation and survival .
In this report , we demonstrate that treatment of the wild-type HCT116 ( wt HCT116 ) human colon cancer cell line and the isogenic p53(-/-) HCT116 and p21(-/-) HCT116 cell lines with a high concentration ( 250 nm ) of CPT resulted in apoptosis , indicating that apoptosis occurred by a p53- and p21-independent mechanism .
In contrast , treatment with a low concentration ( 20 nm ) of CPT induced cell cycle arrest and senescence of the wt HCT116 cells , but apoptosis of the p53(-/-) HCT116 and p21(-/-) HCT116 cells .
Further investigations indicated that p53-dependent expression of p21 blocked apoptosis of wt HCT116 cells treated with 20 nm , but not 250 nm CPT .
Interestingly , blocking of the apoptotic pathway , by Z-VAD-FMK , in p21(-/-) HCT116 cells following treatment with 20 nm CPT did not permit the cells to develop properties of senescence .
These observations demonstrated that p21 was required for senescence development of HCT116 cells following treatment with low concentrations of CPT .
"	31
18	"OBJECTIVE To elucidate the direct effects of gonadotropin-releasing hormone agonist ( GnRHa ) on the growth of human uterine leiomyoma cells , cell proliferation and apoptosis in cultured leiomyoma cells treated with GnRHa were investigated .
METHODS Isolated leiomyoma cells were subcultured in DMEM supplemented with 10% FBS for 5 days and stepped down to serum-free conditions for an additional 6 days in the presence or absence of graded concentrations of GnRHa ( 10(-9) mol/l to 10(-12) mol/l ) .
The effects of GnRHa on the number of viable cells , expression of proliferating cell nuclear antigen ( PCNA ) , Fas and Fas ligand , and apoptosis in cultured leiomyoma cells were examined by MTT ( 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyl tetrasodium bromide ) assay , immunocytochemical analysis , Western blot analysis and TUNEL assay respectively .
RT-PCR was performed to detect the expression of GnRH receptor mRNA in cultured leiomyoma cells .
RESULTS Treatment with GnRHa resulted in a decrease in the number of cultured viable leiomyoma cells assessed by MTT assay in a dose-dependent manner compared with that in control cultures ( P<0.01 ) .
The growth inhibition of cultured leiomyoma cells treated with GnRHa in concentrations higher than 10(-10) mol/l was associated with the suppression of the proliferative potential characterized by a decrease in PCNA-positive rate of the cultured cells ( P<0.01 ) and an increase in the apoptosis-positive rate assessed by TUNEL assay ( P<0.05 and P<0.01 ) .
GnRHa markedly increased the expression of Fas and induced the expression of Fas ligand in the cultured leiomyoma cells on the basis of Western blot analysis .
These direct effects of GnRHa on the number of viable cultured leiomyoma cells , PCNA-positive rate , apoptosis-positive rate and Fas/Fas ligand expression in the cultured leiomyoma cells were only attained after the 4-day treatment .
RT-PCR analysis revealed that GnRH receptor mRNA was expressed in cultured leiomyoma cells .
CONCLUSIONS The present results demonstrate that GnRHa directly inhibits the growth of human uterine leiomyoma cells by suppressing cell proliferation and inducing apoptosis , which might be associated with the increase in Fas expression and the induction of Fas ligand expression in the cells .
"	26
19	"AIMS Tumour cell growth results from a disturbance in the balance between the rate of proliferation and cell death .
In this study , proteins involved in the regulation of cell cycle arrest and apoptosis were studied as possible factors responsible for uncontrolled cell growth in colorectal cancer .
METHODS The expression of proteins involved in these processes was investigated in 48 metastases from patients with colorectal cancer and compared with eight normal colon mucosa samples and 14 primary tumours .
Both primary tumours and metastases were obtained from eight patients .
The expression of thymidylate synthase ( TS ) , p53 , retinoblastoma protein ( Rb ) , Fas receptor , Fas ligand , bcl-2 , mcl-1 , bax , and bcl-x was measured using immunohistochemistry .
Proliferation was determined by Ki67 staining , whereas apoptosis was assessed by M30 immunostaining , which recognises cleaved cytokeratin 18 .
RESULTS In the limited number of cases in which paired comparisons were possible , the expression of TS and Ki67 was significantly higher in metastases than in the matched primary tumour samples ( p = 0.014 and 0.016 , respectively ) , whereas Rb expression was lower in metastases than in primary tumours ( p = 0.024 ) .
Fas receptor expression was high in normal mucosa but absent in primary tumours and metastases , whereas the opposite was seen for p53 .
The expression of bax , mcl-1 , and bcl-x in normal mucosa was more apical than that seen in malignant cells , where a more diffuse expression pattern was seen ( p < 0.04 ) .
Apoptosis was more abundant in primary tumours than in metastases .
CONCLUSIONS These results demonstrate that proliferation and apoptosis are disturbed during colorectal cancer progression , and this is accompanied by loss of Rb and Fas expression , the accumulation of p53 and TS , and changes in the expression patterns of bax , mcl-1 , and bcl-xl .
"	26
